656,595,1048,591,1049,722,658,726
728,421,1127,416,1129,567,730,573
744,80,1079,149,1059,246,724,177
514,6,823,73,801,177,493,111
671,189,955,217,947,296,664,268
434,1161,676,1135,682,1196,440,1222
472,895,661,864,677,962,488,993
409,1598,578,1540,597,1597,429,1655
731,1191,903,1169,908,1211,736,1233
763,1123,881,1109,886,1150,768,1165
954,1460,1056,1425,1066,1455,965,1490
1028,1095,1121,1077,1128,1112,1034,1131
931,1100,1031,1091,1035,1137,935,1146
731,1520,844,1477,858,1513,745,1556
591,1551,686,1538,692,1578,597,1592
946,1503,1057,1476,1067,1514,956,1541
151,689,184,698,178,721,144,712
732,1579,849,1539,861,1572,744,1612
