362,251,467,246,470,286,364,291
-16,479,198,388,228,455,12,546
217,295,281,289,285,328,222,334
4,573,203,459,226,497,28,611
106,171,201,142,229,226,134,256
218,163,281,168,277,221,214,216
286,235,357,238,355,265,284,262
-1,96,101,112,91,169,-11,153
223,-2,282,25,272,45,213,18
129,108,178,85,191,111,142,134
118,611,177,576,189,595,130,630
325,148,374,166,369,177,321,160
12,315,97,306,110,439,25,448
222,242,279,241,280,270,222,271
11,156,97,158,95,277,9,276
382,208,464,217,460,251,378,242
295,137,331,150,327,162,290,149
289,54,364,64,356,127,280,117
221,42,288,73,277,94,211,64
282,185,359,195,353,239,276,228
19,38,101,56,89,108,7,90
389,366,460,334,476,368,405,400
116,310,194,305,201,405,123,410
217,409,277,380,285,397,226,425
389,426,427,411,437,435,399,450
224,341,251,336,255,353,227,358
213,473,262,445,273,463,224,492
358,85,406,95,400,127,351,117
349,389,390,372,407,409,366,426
226,113,263,124,258,137,221,126
220,540,281,504,299,532,237,568
374,165,407,178,403,189,369,176
232,223,268,224,267,242,231,241
258,334,283,329,286,346,261,351
400,175,433,186,429,199,395,187
226,575,270,550,278,563,234,588
225,487,270,462,278,477,234,502
250,455,281,442,288,458,257,471
265,126,292,135,288,148,260,139
